orgname,selected_peers_concat
Abilene Christian University,Alaska Pacific University|Azusa Pacific University|California Baptist University|California Lutheran University|Chapman University|Dominican University of California|Fresno Pacific University|Holy Names University|John F Kennedy University|La Sierra University|Loyola Marymount University|Monterey Institute of International Studies|Mount St Mary's College|National University|Notre Dame de Namur University|Hope International University|University of Redlands|Santa Clara University|Saint Marys College of California|Colorado Christian University|Regis University|Chaminade University of Honolulu|Hawaii Pacific University|Southern Nazarene University|Oklahoma City University|Oral Roberts University|George Fox University|Marylhurst University|Pacific University|University of Portland|Dallas Baptist University|Hardin-Simmons University|Houston Baptist University|University of the Incarnate Word|University of Mary Hardin-Baylor|Our Lady of the Lake University-San Antonio|University of St Thomas|St Marys University|Trinity University|Wayland Baptist University|Westminster College|City University of Seattle|Gonzaga University|Heritage University|Pacific Lutheran University|Saint Martin's University|Seattle Pacific University|Seattle University|Walla Walla University|Whitworth University|Antioch University-Los Angeles|Antioch University-Seattle
Abraham Baldwin Agricultural College,Gordon College|Middle Georgia College|Iowa Lakes Community College|Coffeyville Community College|Holmes Community College|Jones County Junior College|SUNY College of Agriculture and Technology at Cobleskill|Columbia State Community College|North Central Texas College|Walla Walla Community College|Wenatchee Valley College|Potomac State College of West Virginia University
Adams State College,Arizona State University|Northern Arizona University|California State University-Fullerton|Humboldt State University|University of Colorado at Colorado Springs|Fort Lewis College|Mesa State College|Metropolitan State College of Denver|Colorado State University-Pueblo|Western State College of Colorado|Chadron State College|Eastern New Mexico University-Main Campus|New Mexico Highlands University|New Mexico State University-Main Campus|Northern New Mexico College
Adelphi University,University of San Diego|University of San Francisco|University of Denver|Fairfield University|Quinnipiac University|Fordham University|Hofstra University|Marist College|St John's University-New York|Xavier University|University of Scranton|Seattle University
Adirondack Community College,Cayuga County Community College|Clinton Community College|Columbia-Greene Community College|Fulton-Montgomery Community College|Herkimer County Community College|Jefferson Community College|North Country Community College|Schenectady County Community College|Sullivan County Community College|Tompkins Cortland Community College|Ulster County Community College
Agnes Scott College,Birmingham Southern College|Hendrix College|Occidental College|Scripps College|Rollins College|Morehouse College|Spelman College|Earlham College|Centre College|Millsaps College|Davidson College|Furman University|Rhodes College|Sewanee-The University of the South|Southwestern University|University of Richmond|Washington and Lee University|Whitman College|Beloit College
Aiken Technical College,Central Alabama Community College|National Park Community College|Darton College|Bainbridge College|College of Coastal Georgia|Middle Georgia Technical College|John Wood Community College|Cleveland Community College|Lenoir Community College|Piedmont Community College|Robeson Community College|Stanly Community College|Wilkes Community College|Southern State Community College|Terra State Community College|Orangeburg Calhoun Technical College|Central Carolina Technical College|Mountain Empire Community College
Alabama A & M University,University of Alabama at Huntsville|Alabama State University|Auburn University at Montgomery|Jacksonville State University|University of North Alabama|University of South Alabama|University of Alaska Fairbanks|Biola University|University of La Verne|University of the Pacific|Pepperdine University|University of San Diego|University of San Francisco|Walden University|University of Hartford|Wilmington University|University of the District of Columbia|Illinois Institute of Technology|National-Louis University|Southern University and A & M College|Bowie State University|Morgan State University|Michigan Technological University|Jackson State University|Dartmouth College|New Jersey Institute of Technology|Seton Hall University|Adelphi University|The New School|Fayetteville State University|North Carolina Central University|Wake Forest University|Duquesne University|South Carolina State University|University of South Dakota|Tennessee State University|Texas A & M University-Commerce|Prairie View A & M University|Texas A & M University-Kingsville|Texas Christian University|Texas Southern University|Texas Woman's University|College of William and Mary|Norfolk State University
Alabama State University,Alabama A & M University|University of Alabama at Huntsville|Auburn University at Montgomery|Jacksonville State University|University of North Alabama|University of South Alabama|Troy University|University of Arkansas at Pine Bluff|University of the District of Columbia|Florida Agricultural and Mechanical University|Columbus State University|Chicago State University|Grambling State University|Southern University and A & M College|Bowie State University|Morgan State University|Alcorn State University|Jackson State University|Fayetteville State University|North Carolina Central University|South Carolina State University|Prairie View A & M University|Texas Southern University|Norfolk State University
Alamance Community College,South Piedmont Community College|Caldwell Community College and Technical Institute|Central Carolina Community College|Davidson County Community College|Durham Technical Community College|Forsyth Technical Community College|Johnston Community College|Randolph Community College|Rockingham Community College|Rowan-Cabarrus Community College|Sandhills Community College|Surry Community College|Vance-Granville Community College|Wayne Community College
Alaska Pacific University,University of Alaska Anchorage|The College of Idaho|Northwest Nazarene University|Carroll College|Rocky Mountain College|Concordia University-Portland|George Fox University|Linfield College|Pacific University|Pacific Lutheran University|Seattle Pacific University|Walla Walla University|Whitworth University
Albion College,DePauw University|Earlham College|Wabash College|Hope College|Kalamazoo College|Denison University|Kenyon College|Oberlin College|Ohio Wesleyan University|The College of Wooster
Albright College,DeSales University|Arcadia University|Cabrini College|Elizabethtown College|Gettysburg College|Juniata College|King's College|Lebanon Valley College|Lycoming College|Moravian College and Moravian Theological Seminary|Muhlenberg College|University of Scranton|Susquehanna University|Ursinus College|York College Pennsylvania
Alexandria Technical & Community College,Riverland Community College|Central Lakes College-Brainerd|Lake Superior College|Minnesota State Community and Technical College|Hibbing Community College-A Technical and Community College|Itasca Community College|South Central College|Northland Community and Technical College|St Cloud Technical and Community College|Ridgewater College|Minnesota State College-Southeast Technical|North Dakota State College of Science
Allan Hancock College,Phoenix College|Coastline Community College|Cuesta College|College of the Desert|Evergreen Valley College|Laney College|Los Angeles Harbor College|Los Angeles Mission College|Ohlone Community College|San Diego Miramar College|San Jose City College|College of San Mateo|Santa Barbara City College|Shasta College|Ventura College|West Valley College|Brevard Community College|Tallahassee Community College|Southwestern Illinois College|Mott Community College|Delta College|Hinds Community College|Mississippi Gulf Coast Community College|Ozarks Technical Community College|Southeast Community College Area|CUNY Kingsborough Community College|Erie Community College|Hudson Valley Community College|Onondaga Community College|Lorain County Community College|Amarillo College|Blinn College|Del Mar College|North Lake College|Chandler/Gilbert Community College
Allegheny College,Connecticut College|Bates College|Wheaton College|Albion College|Hope College|St Olaf College|Hamilton College|Hartwick College|Hobart William Smith Colleges|Union College|Denison University|Hiram College|Kenyon College|Ohio Wesleyan University|Wittenberg University|The College of Wooster|Bucknell University|Dickinson College|Franklin and Marshall College|Gettysburg College|Juniata College|Muhlenberg College|Washington & Jefferson College|Westminster College|Lawrence University
Allen County Community College,Barton County Community College|Butler Community College|Cloud County Community College|Coffeyville Community College|Colby Community College|Cowley County Community College|Dodge City Community College|Flint Hills Technical College|Fort Scott Community College|Garden City Community College|Highland Community College|Hutchinson Community College|Independence Community College|Johnson County Community College|Kansas City Kansas Community College|Labette Community College|Manhattan Area Technical College|Neosho County Community College|North Central Kansas Technical College|Northwest Kansas Technical College|Pratt Community College|Seward County Community College and Area Technical School|Wichita Area Technical College
Alliant International University,Chapman University|Claremont Graduate University|Golden Gate University-San Francisco|National University|Pepperdine University|National-Louis University
Alpena Community College,Bay de Noc Community College|Glen Oaks Community College|Gogebic Community College|Kirtland Community College|Mid Michigan Community College|Montcalm Community College|North Central Michigan College|Southwestern Michigan College|West Shore Community College
Alvernia University,University of St Francis|University of Saint Francis-Fort Wayne|Hood College|College of Notre Dame of Maryland|Stevenson University|Centenary College|Georgian Court University|Mount Saint Mary College|Roberts Wesleyan College|Saint Bonaventure University|Utica College|Albright College|DeSales University|Cabrini College|Carlow University|Chestnut Hill College|Gwynedd Mercy College|Holy Family University|Immaculata University|Marywood University|Misericordia University|Neumann University|Point Park University|Saint Francis University|Seton Hill University|Waynesburg University|Marymount University|Viterbo University
Alvin Community College,Brazosport College|Galveston College|Houston Community College|Lee College|College of the Mainland|Lone Star College System|San Jacinto Community College|Wharton County Junior College
Amarillo College,Blinn College|Central Texas College|Del Mar College|Laredo Community College|South Plains College|Tyler Junior College
American Academy of Dramatic Arts-Los Angeles,The New School
American International College,University of Hartford|University of New Haven|Quinnipiac University|Sacred Heart University|University of New England|Assumption College|Bay Path College|Merrimack College|Nichols College|College of Our Lady of the Elms|Springfield College|Western New England University|Franklin Pierce University|New England College|Saint Anselm College|The College of Saint Rose|Bryant University
American University,Catholic University of America|George Washington University|Georgetown University|Emory University|Loyola University-Baltimore|Boston College|Boston University|Northeastern University|Tufts University|Washington University in St Louis|Fordham University|New York University|Syracuse University
Anamarc College,Western Technical College|Western Technical College|International Business College|International Business College|Computer Career Center a division of Vista College|ITT Technical Institute-San Antonio|Southwest Career College
Ancilla College,Mitchell College|Andrew College|Truett-McConnell College|Young Harris College|Springfield College in Illinois|Donnelly College|Hesston College|Saint Catharine College|Our Lady of Holy Cross College|Fisher College|Marian Court College|Cottey College|Chester College of New England|Maria College of Albany|Trocaire College|Villa Maria College|Louisburg College|Chatfield College|Bacone College|Harcum College|Keystone College|Lackawanna College|Manor College|Spartanburg Methodist College|Hiwassee College|Lon Morris College
