,2010-8,2011-8,2012-8,2013-8,2014-8,2015-8,2016-8,2017-8,2018-8
1,26918,39162,27993,63665,39313,73427,98811,424006,132009
2,17760,30890,23051,29567,36338,54977,58144,53419,122078
3,8816,22919,15020,29460,28981,48912,38770,49087,102581
4,8125,17219,14636,17121,20807,20948,38675,34147,68285
5,5157,6243,13518,16468,18746,19542,34589,29012,55460
6,5133,5326,8895,14473,18714,18083,26931,23652,32013
7,3980,3594,7037,11416,16926,17220,16663,16825,23011
8,2655,3410,6868,7542,9770,14643,15334,15806,19543
9,2581,3301,4159,6286,9729,14458,14736,12588,17830
10,2233,1954,3471,5440,9464,9977,8376,11341,15238
111,8245,13137,17216,24674,53426,69576,54576,66712,93990
