省,985率,211率,一本率,考生数/万人
湖南,1.71,4.53,11.2,41.08
江西,1.55,6.46,10.4,36.49
安徽,1.1,4.1,14.2,49.9
广东,1.32,2.74,11.2,75.7
河北,1.48,4.42,14.55,43.62
湖北,2.14,5.16,15.8,36.2
河南,1.14,4.14,7.8,86.58
山西,1.3,4.67,9.8,31.7
福建,2.01,5.37,18.7,18.82
吉林,3.56,8.95,12.4,14.29
重庆,2.13,5.38,11.5,24.75
辽宁,2.3,5.93,16.1,20.85
内蒙古,1.54,6.03,14.03,19.8
甘肃,1.47,3.5,15.22,28.48
黑龙江,2.01,6.67,13.5,18.8
陕西,1.88,5.67,14.6,31.9
宁夏,2.37,8.56,19,6.92
新疆,1.67,7.76,12.86,18.37
西藏,1.73,12.77,11,2.8
青海,3.02,11.66,15.2,4.6
四川,1.47,4.44,10.6,58.28
云南,1.35,4.5,10.85,29.35
广西,1.34,4.61,8.44,36.49
贵州,1.19,5.17,14.5,41.9
北京,4.19,13.99,30.5,6.06
江苏,1.41,5.19,12.1,33.01
山东,1.47,4.44,10.6,58.3
天津,5.8,12.68,24.1,5.7
上海,5.33,13.58,21.8,5
