id,city_name,2009,2010,2011,2012,2013,2014,2015,2016,2017,2018
0,北京,18741,24733,25166,30158,40342,37294,39437,57597,57768,54620
1,上海,19810,22491,22665,23428,29978,30522,35237,52142,50017,50331
2,深圳,13090,16645,17428,19298,24910,28117,41494,44060,47996,48252
3,厦门,,,17538,17185,23124,24843,25970,38883,47177,45036
4,三亚,,,16243,18187,19094,19474,14390,14777,26235,30545
5,广州,9718,12944,14762,16555,19208,18564,20016,22926,27578,28825
6,福州,,,11031,11750,13841,13949,14577,19822,26771,26230
7,南京,11093,14107,14442,14750,17313,18099,18697,24867,25733,25896
8,天津,10024,12396,12732,12793,14519,14961,15553,23220,22205,21454
9,青岛,,15651,12752,11743,12822,12286,12384,13523,18142,20916
10,杭州,18522,21858,19721,18713,19131,16984,16080,19553,21929,20567
11,义乌,,,,,,,,,18386,19993
12,珠海,,,10764,9455,11365,12231,14980,19070,19531,19981
13,宁波,,,15458,15342,15461,14350,12250,13857,17037,18720
14,温州,,,,,,,16873,17984,17992,18379
15,武汉,5620,6905,7854,7998,8825,9239,10000,13875,16259,16517
16,金华,,,,,,,9914,10392,14504,16478
17,石家庄,,6458,7307,7723,8639,8800,8986,14878,16979,16475
18,济南,,7940,8576,8485,9158,9341,9281,11667,15842,16385
19,苏州,7748,8943,10000,10089,10941,10980,12251,16181,15320,15685
20,廊坊,,,7565,6983,7267,7418,7043,16175,15564,15077
21,东莞,,,6525,6731,7611,7926,8371,11651,13913,14542
22,合肥,,,6516,6642,7400,7825,8461,14983,14362,14376
23,舟山,,,,,,,,10769,13359,14126
24,莆田,,,,,,,10000,9912,13656,14102
25,海口,,,8076,7459,6969,7416,7201,,11977,13913
26,绍兴,,,9642,7268,7917,,9107,9097,11902,13385
27,漳州,,,,,,,8508,9661,13670,13345
28,成都,6849,8035,8477,8450,8597,8277,8213,8591,12034,13150
29,台州,,,,,,,7540,10106,12149,12830
30,郑州,,5743,6566,6937,8229,8503,8790,12091,12859,12671
31,常州,,,7638,,,7324,,8202,12069,12622
32,昆山,,,7153,7075,7467,7128,7488,10706,11562,12406
33,保定,,,,6013,,,7117,10151,12983,12029
34,中山,,,,,,6447,,8148,11266,11952
35,衢州,,,,,,,7571,8039,11257,11864
36,南通,,,9986,9408,8218,,8308,8716,10717,11846
37,扬州,,,8275,8366,8150,,8406,8597,10861,11833
38,南昌,,,7640,8123,9208,9186,9212,9987,11396,11809
39,湖州,,,,,,,8243,8329,10981,11405
40,龙岩,,,,,,,8382,8645,10566,11362
41,太原,,,7374,7625,8194,8365,8118,8308,,11273
42,大连,9743,10934,11115,10540,10972,10182,9816,9854,10495,11040
43,泉州,,,8527,8266,8724,9402,7845,8417,10651,10928
44,顺德,,,,,,,,,10909,10909
45,嘉兴,,,6872,,,,,8895,10481,10839
46,西双版纳,,,,,,,,,,10739
47,昆明,,,8842,8567,8664,8094,8202,8485,,10683
48,章丘,,,,,,,,,11891,10626
49,长沙,,6172,6781,6539,6519,6401,,,,10472
50,兰州,,,8347,8065,8716,9299,8465,9014,,
51,沈阳,,,8105,8030,8270,7991,7242,,,
52,秦皇岛,,,7820,7797,7947,,,,,
53,泰州,,,7777,7975,7838,,,,,
54,唐山,,,7703,6787,7641,6972,,,,
55,烟台,,,7633,7671,8394,7404,7495,8109,,
56,哈尔滨,,,7527,7000,7503,8289,9131,,,
57,无锡,,7589,7477,7336,7312,6979,,8300,,
58,南宁,,,7434,6822,7052,6341,,,,
59,西安,,7184,7184,6704,6792,6994,,,,
60,呼和浩特,,,7044,6817,6714,,,,,
61,徐州,,,6885,6833,6745,6367,,,,
62,镇江,,,6860,6578,6663,,7304,,,
63,长春,,,6691,6551,7229,6997,,,,
64,重庆,4590,6016,6583,6550,6896,6718,,,,
65,河源,,,,,,,8223,,,
66,三明,,,,,,,7483,,,
67,汕头,,,,,,,7479,,,
68,玉溪,,,,,,,7142,,,
69,宜昌,,,,6407,6751,,,,,
70,佛山,,5949,,,6279,6075,,,10229,
71,张家口,,,,,,,,8843,1045,
72,惠州,,,,,,5585,,8184,10227,
73,沧州,,,,,,,,,10144,
74,丽水,,,,,,,,14187,,
75,柳州,,,,,,6796,,,,
76,淄博,,,,,,6230,,,,
77,洛阳,,,,,,6069,,,,
78,威海,,,,,,6028,,,,
79,贵阳,,,,,,5496,,,,
