RANK,CITY_ID,CITY_NAME,Exposed days
1,594,拉萨,2
2,579,玉溪,7
3,263,厦门,8
4,267,泉州,9
5,271,漳州,10
6,278,龙岩,10
7,575,昆明,11
8,264,莆田,12
9,260,福州,15
10,265,三明,16
11,577,曲靖,16
12,64,鄂尔多斯,18
13,273,南平,18
14,280,宁德,19
15,580,保山,21
16,482,梅州,24
17,521,三亚,26
19,484,汕尾,27
20,520,海口,28
21,606,榆林,28
22,494,潮州,30
24,486,河源,31
25,470,湛江,32
26,536,攀枝花,32
27,481,惠州,33
28,232,舟山,34
29,463,汕头,34
30,461,深圳,35
32,564,六盘水,40
34,474,茂名,44
35,236,丽水,45
36,495,揭阳,45
37,630,石嘴山,45
38,615,张掖,46
39,71,巴彦淖尔,47
40,338,威海,47
41,487,阳江,47
42,581,昭通,47
43,213,温州,48
44,504,北海,48
45,88,丹东,49
46,462,珠海,49
47,610,嘉峪关,49
48,628,银川,49
50,568,安顺,50
51,617,酒泉,50
53,611,金昌,51
55,23,张家口,52
56,492,东莞,52
57,604,延安,54
58,614,武威,56
59,233,台州,57
60,493,中山,57
61,505,防城港,57
62,44,朔州,58
63,94,营口,58
64,209,宁波,59
65,316,烟台,60
66,58,呼和浩特,61
67,61,赤峰,62
68,512,百色,62
69,612,白银,62
70,38,大同,63
71,465,江门,63
72,621,定西,63
73,497,云浮,64
74,455,广州,65
75,507,钦州,65
76,562,贵阳,65
77,636,克拉玛依,66
78,510,玉林,67
79,55,吕梁,69
80,65,呼伦贝尔,69
82,80,大连,70
83,24,承德,71
84,59,包头,71
85,141,齐齐哈尔,71
86,303,上饶,71
87,122,通化,72
88,291,鹰潭,72
89,160,黑河,74
90,125,白山,75
91,464,佛山,75
92,302,抚州,77
93,489,清远,77
94,502,梧州,77
96,86,抚顺,78
97,293,赣州,78
98,87,本溪,80
99,284,景德镇,80
100,458,韶关,80
101,248,黄山,81
103,147,双鸭山,82
104,499,南宁,84
105,154,七台河,85
106,508,贵港,85
107,514,河池,85
108,565,遵义,85
109,609,兰州,85
110,287,九江,86
112,557,雅安,86
113,121,辽源,87
114,143,鸡西,87
115,307,青岛,87
116,91,锦州,88
117,107,葫芦岛,88
118,146,鹤岗,88
119,149,伊春,88
120,167,上海,88
121,148,大庆,89
122,478,肇庆,89
123,84,鞍山,90
124,100,盘锦,90
125,101,铁岭,90
126,216,嘉兴,90
127,97,阜新,91
128,151,佳木斯,91
129,296,吉安,91
130,625,西宁,93
131,155,牡丹江,94
132,221,绍兴,94
133,230,衢州,94
134,283,南昌,94
135,128,白城,95
136,62,通辽,96
137,113,吉林,96
138,622,陇南,96
139,616,平凉,96
140,118,四平,97
142,446,郴州,97
143,529,重庆,97
144,109,长春,98
145,205,杭州,98
146,613,天水,99
147,98,辽阳,100
148,163,绥化,101
151,290,新余,102
152,183,南通,103
153,225,金华,103
156,127,松原,104
157,635,乌鲁木齐,104
158,246,安庆,105
159,220,湖州,106
160,78,沈阳,108
161,245,铜陵,108
162,342,日照,108
164,178,苏州,109
165,12,秦皇岛,110
166,298,宜春,110
167,537,泸州,110
171,501,桂林,112
172,189,盐城,114
173,391,黄石,114
175,137,哈尔滨,115
176,500,柳州,115
177,552,宜宾,115
178,286,萍乡,116
179,449,怀化,119
180,544,广元,119
181,549,南充,119
182,187,连云港,120
184,169,无锡,121
185,558,巴中,121
186,192,扬州,123
187,535,自贡,123
188,542,绵阳,123
189,195,镇江,124
190,546,内江,124
191,175,常州,125
192,36,太原,126
193,414,黄冈,126
194,436,邵阳,126
195,403,鄂州,128
196,433,衡阳,128
197,598,宝鸡,128
198,545,遂宁,129
199,199,泰州,130
200,538,德阳,130
201,559,资阳,130
202,240,芜湖,132
203,438,岳阳,132
204,443,张家界,132
205,451,娄底,132
206,597,铜川,132
207,188,淮安,135
208,52,临汾,136
209,428,株洲,137
210,605,汉中,137
211,168,南京,138
212,254,宿州,138
213,608,商洛,138
214,243,马鞍山,139
215,204,宿迁,140
216,249,滁州,140
217,244,淮北,141
218,444,益阳,143
219,324,潍坊,144
220,607,安康,144
221,430,湘潭,145
222,426,长沙,147
223,45,晋中,148
224,172,徐州,148
225,255,六安,148
226,241,蚌埠,149
227,441,常德,149
228,530,成都,150
229,242,淮南,154
230,378,三门峡,154
231,39,阳泉,155
232,47,运城,158
233,42,晋城,158
234,390,武汉,158
235,1,北京,161
236,596,西安,162
237,344,临沂,166
238,395,宜昌,166
239,40,长治,169
240,315,东营,170
241,393,十堰,170
242,601,渭南,170
243,252,阜阳,172
244,238,合肥,175
245,599,咸阳,175
246,256,亳州,176
247,406,孝感,176
248,359,洛阳,178
249,313,枣庄,183
250,410,荆州,184
251,404,荆门,186
252,419,随州,186
253,312,淄博,188
254,370,焦作,190
255,386,周口,191
256,343,莱芜,193
257,385,信阳,193
258,383,商丘,194
259,388,驻马店,196
260,399,襄樊,196
261,377,漯河,197
262,335,泰安,198
263,30,廊坊,199
264,374,许昌,200
265,352,郑州,201
266,350,滨州,203
267,361,平顶山,203
268,381,南阳,203
269,2,天津,204
270,9,唐山,205
271,25,沧州,205
272,358,开封,210
273,331,济宁,211
274,305,济南,213
275,367,新乡,216
276,351,菏泽,221
277,18,保定,222
278,366,鹤壁,234
279,373,濮阳,236
280,348,聊城,238
281,345,德州,240
282,33,衡水,241
283,364,安阳,246
284,3,石家庄,252
285,13,邯郸,253
286,15,邢台,279
